row,column,weight
"Cite_1_1: Rotating industrial machinery underpins manufacturing and infrastructure, yet robust fault diagnosis remains crucial for optimizing efficiency and minimizing downtime. This review comprehensively analyzes the transformative impact of Deep Learning (DL) on fault diagnosis in this critical domain. Drawing insights from eight thematic tables, we unveil key findings, explore future implications, and offer practical recommendations. Our review highlights the significant advantages of DL over traditional methods, showcasing its superior accuracy and versatility across diverse applications. We emphasize the paramount role of data quality, diversity, and representativeness in building robust models, identifying specific data types influencing optimal DL architectures. By delving into the strengths and limitations of common techniques, we provide a valuable roadmap for practitioners to adapt models for specific needs. Finally, we call for collaborative efforts between researchers and practitioners to accelerate the development and application of these game-changing solutions. This comprehensive review promises for further advancements in DL-based fault diagnosis, fostering a future where industrial machinery operates with unprecedented reliability and efficiency.","Main_1:   Within smart manufacturing, data driven techniques are commonly adopted for
condition monitoring and fault diagnosis of rotating machinery. Classical
approaches use supervised learning where a classifier is trained on labeled
data to predict or classify different operational states of the machine.
However, in most industrial applications, labeled data is limited in terms of
its size and type. Hence, it cannot serve the training purpose. In this paper,
this problem is tackled by addressing the classification task as a similarity
measure to a reference sample rather than a supervised classification task.
Similarity-based approaches require a limited amount of labeled data and hence,
meet the requirements of real-world industrial applications. Accordingly, the
paper introduces a similarity-based framework for predictive maintenance (PdM)
of rotating machinery. For each operational state of the machine, a reference
vibration signal is generated and labeled according to the machine's
operational condition. Consequentially, statistical time analysis, fast Fourier
transform (FFT), and short-time Fourier transform (STFT) are used to extract
features from the captured vibration signals. For each feature type, three
similarity metrics, namely structural similarity measure (SSM), cosine
similarity, and Euclidean distance are used to measure the similarity between
test signals and reference signals in the feature space. Hence, nine settings
in terms of feature type-similarity measure combinations are evaluated.
Experimental results confirm the effectiveness of similarity-based approaches
in achieving very high accuracy with moderate computational requirements
compared to machine learning (ML)-based methods. Further, the results indicate
that using FFT features with cosine similarity would lead to better performance
compared to the other settings.
",0.45
"Cite_1_2: Recent advancements in sensing, measurement, and computing technologies have significantly expanded the potential for signal-based applications, leveraging the synergy between signal processing and Machine Learning (ML) to improve both performance and reliability. This fusion represents a critical point in the evolution of signal-based systems, highlighting the need to bridge the existing knowledge gap between these two interdisciplinary fields. Despite many attempts in the existing literature to bridge this gap, most are limited to specific applications and focus mainly on feature extraction, often assuming extensive prior knowledge in signal processing. This assumption creates a significant obstacle for a wide range of readers. To address these challenges, this paper takes an integrated article approach. It begins with a detailed tutorial on the fundamentals of signal processing, providing the reader with the necessary background knowledge. Following this, it explores the key stages of a standard signal processing-based ML pipeline, offering an in-depth review of feature extraction techniques, their inherent challenges, and solutions. Differing from existing literature, this work offers an application-independent review and introduces a novel classification taxonomy for feature extraction techniques. Furthermore, it aims at linking theoretical concepts with practical applications, and demonstrates this through two specific use cases: a spectral-based method for condition monitoring of rolling bearings and a wavelet energy analysis for epilepsy detection using EEG signals. In addition to theoretical contributions, this work promotes a collaborative research culture by providing a public repository of relevant Python and MATLAB signal processing codes. This effort is intended to support collaborative research efforts and ensure the reproducibility of the results presented.","Main_1:   Within smart manufacturing, data driven techniques are commonly adopted for
condition monitoring and fault diagnosis of rotating machinery. Classical
approaches use supervised learning where a classifier is trained on labeled
data to predict or classify different operational states of the machine.
However, in most industrial applications, labeled data is limited in terms of
its size and type. Hence, it cannot serve the training purpose. In this paper,
this problem is tackled by addressing the classification task as a similarity
measure to a reference sample rather than a supervised classification task.
Similarity-based approaches require a limited amount of labeled data and hence,
meet the requirements of real-world industrial applications. Accordingly, the
paper introduces a similarity-based framework for predictive maintenance (PdM)
of rotating machinery. For each operational state of the machine, a reference
vibration signal is generated and labeled according to the machine's
operational condition. Consequentially, statistical time analysis, fast Fourier
transform (FFT), and short-time Fourier transform (STFT) are used to extract
features from the captured vibration signals. For each feature type, three
similarity metrics, namely structural similarity measure (SSM), cosine
similarity, and Euclidean distance are used to measure the similarity between
test signals and reference signals in the feature space. Hence, nine settings
in terms of feature type-similarity measure combinations are evaluated.
Experimental results confirm the effectiveness of similarity-based approaches
in achieving very high accuracy with moderate computational requirements
compared to machine learning (ML)-based methods. Further, the results indicate
that using FFT features with cosine similarity would lead to better performance
compared to the other settings.
",0.45
"Cite_1_3: Classical Predictive Maintenance (PdM) methods of rolling bearings rely on supervised learning, which involves training a classifier on a labeled dataset to classify the current state of the bearings. In practical situations, labeled data may be limited in terms of its size and type, which can make it difficult to use for training predictive maintenance models. The proposed Similarity-Based PdM (SB-PdM) software addresses the challenge of limited labeled data by approaching the classification task as a similarity measure to a reference sample, rather than using supervised classification. Experimental results have confirmed the effectiveness of the proposed SB-PdM software in achieving very high accuracy, while requiring only moderate computational resources compared to traditional machine learning (ML)-based methods.","Main_1:   Within smart manufacturing, data driven techniques are commonly adopted for
condition monitoring and fault diagnosis of rotating machinery. Classical
approaches use supervised learning where a classifier is trained on labeled
data to predict or classify different operational states of the machine.
However, in most industrial applications, labeled data is limited in terms of
its size and type. Hence, it cannot serve the training purpose. In this paper,
this problem is tackled by addressing the classification task as a similarity
measure to a reference sample rather than a supervised classification task.
Similarity-based approaches require a limited amount of labeled data and hence,
meet the requirements of real-world industrial applications. Accordingly, the
paper introduces a similarity-based framework for predictive maintenance (PdM)
of rotating machinery. For each operational state of the machine, a reference
vibration signal is generated and labeled according to the machine's
operational condition. Consequentially, statistical time analysis, fast Fourier
transform (FFT), and short-time Fourier transform (STFT) are used to extract
features from the captured vibration signals. For each feature type, three
similarity metrics, namely structural similarity measure (SSM), cosine
similarity, and Euclidean distance are used to measure the similarity between
test signals and reference signals in the feature space. Hence, nine settings
in terms of feature type-similarity measure combinations are evaluated.
Experimental results confirm the effectiveness of similarity-based approaches
in achieving very high accuracy with moderate computational requirements
compared to machine learning (ML)-based methods. Further, the results indicate
that using FFT features with cosine similarity would lead to better performance
compared to the other settings.
",0.45
"Cite_1_4: Effective management of water distribution networks (WDNs) is critical for conserving water and reducing financial losses. This study addresses the problem of false alarms in WDNs’ acoustic loggers, often triggered by electrical transformer noise. We propose a false alarm prevention framework that features a transformer noise-based frequency selection (TNFS) method, utilizing domain knowledge of the system. TNFS provides a uniform feature set without the iterative sampling or sample dependence typical of other methods. Its rapid processing and low computational needs make it exceptionally suitable for WDNs’ acoustic loggers with constrained computing resources. In addition, we introduce the generative adversarial network-enhanced synthetic minority over-sampling technique (SMOTE), designed to tackle the mode collapse issue in generative adversarial networks (GANs). Our system, validated with real-world data spanning 17 months, dramatically reduces false alarms from electrical noise by 99.6%, highlighting the importance of domain-specific knowledge in the application of machine learning to industrial sensor networks.","Main_1:   Within smart manufacturing, data driven techniques are commonly adopted for
condition monitoring and fault diagnosis of rotating machinery. Classical
approaches use supervised learning where a classifier is trained on labeled
data to predict or classify different operational states of the machine.
However, in most industrial applications, labeled data is limited in terms of
its size and type. Hence, it cannot serve the training purpose. In this paper,
this problem is tackled by addressing the classification task as a similarity
measure to a reference sample rather than a supervised classification task.
Similarity-based approaches require a limited amount of labeled data and hence,
meet the requirements of real-world industrial applications. Accordingly, the
paper introduces a similarity-based framework for predictive maintenance (PdM)
of rotating machinery. For each operational state of the machine, a reference
vibration signal is generated and labeled according to the machine's
operational condition. Consequentially, statistical time analysis, fast Fourier
transform (FFT), and short-time Fourier transform (STFT) are used to extract
features from the captured vibration signals. For each feature type, three
similarity metrics, namely structural similarity measure (SSM), cosine
similarity, and Euclidean distance are used to measure the similarity between
test signals and reference signals in the feature space. Hence, nine settings
in terms of feature type-similarity measure combinations are evaluated.
Experimental results confirm the effectiveness of similarity-based approaches
in achieving very high accuracy with moderate computational requirements
compared to machine learning (ML)-based methods. Further, the results indicate
that using FFT features with cosine similarity would lead to better performance
compared to the other settings.
",0.45
"Cite_1_5: Machines operating in a production environment inevitably undergo changes throughout their usage life span, especially due to environmental influences, modifications or wear and tear. This introduces complexities in leveraging machine learning to monitor their condition for maintenance purposes. Depending on the significance of the changes, the performance of the condition monitoring system could degrade drastically. Especially, if changes occur frequently, retraining the system from scratch is not feasible. Therefore, we investigated active learning and self-training as adaptation strategies to enhance the robustness of the condition monitoring process. We evaluated both strategies using a demonstrator consisting of several electric motors and a single vibration sensor. The classification task is to identify, which motors are running based on their superimposed vibration data. We emulated different changes occurring in typical production environments and rated them as small, medium and large scale changes. For a comparative analysis of both strategies, we trained a benchmark model based on a convolutional neural network and evaluated the performance of active learning and self-training for the different changes in relation to this reference model. The results indicate that employing both active learning and self-training in a production environment to adapt the model can enhance its robustness. Self-training is the preferred option for small changes, as it adapts the model without the need for user interaction. For medium and large scale changes, on the other hand, self-training can fail, while active learning is a sensible strategy, despite the operator having to label some of the data.","Main_1:   Within smart manufacturing, data driven techniques are commonly adopted for
condition monitoring and fault diagnosis of rotating machinery. Classical
approaches use supervised learning where a classifier is trained on labeled
data to predict or classify different operational states of the machine.
However, in most industrial applications, labeled data is limited in terms of
its size and type. Hence, it cannot serve the training purpose. In this paper,
this problem is tackled by addressing the classification task as a similarity
measure to a reference sample rather than a supervised classification task.
Similarity-based approaches require a limited amount of labeled data and hence,
meet the requirements of real-world industrial applications. Accordingly, the
paper introduces a similarity-based framework for predictive maintenance (PdM)
of rotating machinery. For each operational state of the machine, a reference
vibration signal is generated and labeled according to the machine's
operational condition. Consequentially, statistical time analysis, fast Fourier
transform (FFT), and short-time Fourier transform (STFT) are used to extract
features from the captured vibration signals. For each feature type, three
similarity metrics, namely structural similarity measure (SSM), cosine
similarity, and Euclidean distance are used to measure the similarity between
test signals and reference signals in the feature space. Hence, nine settings
in terms of feature type-similarity measure combinations are evaluated.
Experimental results confirm the effectiveness of similarity-based approaches
in achieving very high accuracy with moderate computational requirements
compared to machine learning (ML)-based methods. Further, the results indicate
that using FFT features with cosine similarity would lead to better performance
compared to the other settings.
",0.45
"Cite_1_6: Vibration-Based Condition Monitoring (VBCM) is commonly utilized in Prognostics and Health Management (PHM) due to its non-destructive nature and inherent advantages over alternative forms of condition monitoring. Furthermore, the rapid evolution of sensor fabrication and the rise of the Internet of Things (IoT) have facilitated large-scale VBCM systems across diverse domains, including industry, transportation, healthcare, agriculture, and wildlife monitoring. The recent advancements in computing technologies have significantly expanded the potential for VBCM by leveraging the synergy between signal processing and Machine Learning (ML). Accordingly, data-driven VBCM has emerged as a paradigm shift, improving the performance and reliability of VBCM systems. To this end, addressing various attributes of data-driven VBCM becomes increasingly important since it represents the core of current and future VBCM systems. The work presented in this thesis addresses the main aspects of VBCM, including signal processing fundamentals, feature extraction, availability of labeled data, computational complexity, and power efficiency. The methods employed in this thesis span the fields of Digital Signal Processing (DSP) and ML techniques (supervised, Deep Learning (DL)), including signal preprocessing, signal denoising, signal frequency-domain analysis, signal time-frequency domain analysis, feature extraction, signal companding (compression-expansion), and 1-dimensional (1D) convolutional reconstruction autoencoders. These methods address extraction of effective condition-related features, limited availability of labeled data, noise removal, complexity considerations in VBCM systems, and power efficiency of power-constrained sensor nodes in remote VBCM. By addressing the aforementioned problems, the end-to-end performance of VBCM systems can be improved in terms of the size of training data, the reliability of the monitoring process, system delay, memory requirements, and power consumption. To ensure the explainability of the extracted features, the developed methods for the extraction of condition-related features are based on signal processing since feature engineering using signal processing creates explainable features that link meaningfully to ii signal conditions or classes compared to DL-based features. The thesis also contributes to the VBCM literature by providing a comprehensive tutorial on signal processing fundamentals, an overview of a typical signal-based ML pipeline, and an application-independent review of feature extraction techniques. The work presented in this thesis presents efficient solutions to the main challenges that face the practical deployment of real-world VBCM systems","Main_1:   Within smart manufacturing, data driven techniques are commonly adopted for
condition monitoring and fault diagnosis of rotating machinery. Classical
approaches use supervised learning where a classifier is trained on labeled
data to predict or classify different operational states of the machine.
However, in most industrial applications, labeled data is limited in terms of
its size and type. Hence, it cannot serve the training purpose. In this paper,
this problem is tackled by addressing the classification task as a similarity
measure to a reference sample rather than a supervised classification task.
Similarity-based approaches require a limited amount of labeled data and hence,
meet the requirements of real-world industrial applications. Accordingly, the
paper introduces a similarity-based framework for predictive maintenance (PdM)
of rotating machinery. For each operational state of the machine, a reference
vibration signal is generated and labeled according to the machine's
operational condition. Consequentially, statistical time analysis, fast Fourier
transform (FFT), and short-time Fourier transform (STFT) are used to extract
features from the captured vibration signals. For each feature type, three
similarity metrics, namely structural similarity measure (SSM), cosine
similarity, and Euclidean distance are used to measure the similarity between
test signals and reference signals in the feature space. Hence, nine settings
in terms of feature type-similarity measure combinations are evaluated.
Experimental results confirm the effectiveness of similarity-based approaches
in achieving very high accuracy with moderate computational requirements
compared to machine learning (ML)-based methods. Further, the results indicate
that using FFT features with cosine similarity would lead to better performance
compared to the other settings.
",0.45
"Cite_1_7: Asenkron motorlar endüstride iş gücünün sağlanması açısından birçok uygulamada kullanılmaktadır. Asenkron motorlarda oluşan arızalar mil yatağı, stator ve rotor bileşenleri ile ilgilidir. Bu bileşenlerden mil yatağı arızaları en çok karşılaşılan problemlerden biridir. Bu arızaların teşhisi için genellikle titreşim sinyalleri kullanılmaktadır. Endüstriyel ortamda çalışan motor ile aynı özelliklerde bir motor bulmak zor olduğundan karşılaştırma yapılarak arızaların tespiti yapılamamaktadır. Bu çalışmada titreşim sinyallerinin zaman frekans görüntüleri oluşabilecek mil yatağı arızaları için toplanarak transfer öğrenme tabanlı bir model ile eğitilmiştir. Daha sonra endüstriyel mil arızası olan bir motordan aynı şartlarda ve benzer bir konumda alınan sinyaller kullanılarak endüstrideki büyük güçlü motordaki arıza belirlenmiştir. Yapılan testler sonucunda endüstrideki motorda oluşan kusurların %95’in üzerinde doğru bir şekilde tespit edildiği ispatlanmıştır.","Main_1:   Within smart manufacturing, data driven techniques are commonly adopted for
condition monitoring and fault diagnosis of rotating machinery. Classical
approaches use supervised learning where a classifier is trained on labeled
data to predict or classify different operational states of the machine.
However, in most industrial applications, labeled data is limited in terms of
its size and type. Hence, it cannot serve the training purpose. In this paper,
this problem is tackled by addressing the classification task as a similarity
measure to a reference sample rather than a supervised classification task.
Similarity-based approaches require a limited amount of labeled data and hence,
meet the requirements of real-world industrial applications. Accordingly, the
paper introduces a similarity-based framework for predictive maintenance (PdM)
of rotating machinery. For each operational state of the machine, a reference
vibration signal is generated and labeled according to the machine's
operational condition. Consequentially, statistical time analysis, fast Fourier
transform (FFT), and short-time Fourier transform (STFT) are used to extract
features from the captured vibration signals. For each feature type, three
similarity metrics, namely structural similarity measure (SSM), cosine
similarity, and Euclidean distance are used to measure the similarity between
test signals and reference signals in the feature space. Hence, nine settings
in terms of feature type-similarity measure combinations are evaluated.
Experimental results confirm the effectiveness of similarity-based approaches
in achieving very high accuracy with moderate computational requirements
compared to machine learning (ML)-based methods. Further, the results indicate
that using FFT features with cosine similarity would lead to better performance
compared to the other settings.
",0.45
"Cite_1_8: Having accurate prediction on the health of machines in manufacturing can lead to a profitable organization if the operations and maintenance decisions are appropriately performed. This hinges on making well-informed operational and maintenance decisions. Incorporating condition monitoring and predictive maintenance strategies can significantly contribute to achieving this goal. By continuously monitoring the real-time condition of machines, organizations can gather valuable data that offers insights into the performance and health of the equipment. However, dealing with a scarce dataset, which is common in real world applications, makes any prognostics on the maintenance system intricate. This is further exacerbated by the unavailability of failure data within the system which makes degradation model is best suited for the said situation. Since there is no extensive study discussing computational time under similar settings of two different networks for the degradation model in estimating RUL, this study investigates a simple Long Short-Term Model (LSTM) method for prognostics, which is compared to a two-dimensional Convolutional Neural Network (CNN) under the same training options. The networks are trained using the popular Commercial Modular Aero-Propulsion System Simulation (C-MAPSS) dataset from the National Aeronautics and Space Administration (NASA). The aim of this study is to estimate the remaining useful life (RUL) of a turbofan engine in the most effective way. With carefully designed and defined network architectures, better performance can be attained, enabling proper foreseen of the RUL of an engine as soon as it is more likely to be close to failure. Based on the comparison, it is noted that the simple LSTM method for RUL prediction outperforms the two-dimensional CNN with better RUL prediction, Root Mean Square Error (RMSE), and computational time. For future improvement, this study can be further explored for a more sophisticated hybrid model that might produce better prediction in various sectors such as manufacturing, automotive, and military applications.","Main_1:   Within smart manufacturing, data driven techniques are commonly adopted for
condition monitoring and fault diagnosis of rotating machinery. Classical
approaches use supervised learning where a classifier is trained on labeled
data to predict or classify different operational states of the machine.
However, in most industrial applications, labeled data is limited in terms of
its size and type. Hence, it cannot serve the training purpose. In this paper,
this problem is tackled by addressing the classification task as a similarity
measure to a reference sample rather than a supervised classification task.
Similarity-based approaches require a limited amount of labeled data and hence,
meet the requirements of real-world industrial applications. Accordingly, the
paper introduces a similarity-based framework for predictive maintenance (PdM)
of rotating machinery. For each operational state of the machine, a reference
vibration signal is generated and labeled according to the machine's
operational condition. Consequentially, statistical time analysis, fast Fourier
transform (FFT), and short-time Fourier transform (STFT) are used to extract
features from the captured vibration signals. For each feature type, three
similarity metrics, namely structural similarity measure (SSM), cosine
similarity, and Euclidean distance are used to measure the similarity between
test signals and reference signals in the feature space. Hence, nine settings
in terms of feature type-similarity measure combinations are evaluated.
Experimental results confirm the effectiveness of similarity-based approaches
in achieving very high accuracy with moderate computational requirements
compared to machine learning (ML)-based methods. Further, the results indicate
that using FFT features with cosine similarity would lead to better performance
compared to the other settings.
",0.45
"Cite_1_9: In structural testing, modal analysis of the response data reflects the specifications of a structure. This paper proposes a data-driven anomaly detection method using the universal representation of modal testing response data. High-frequency time series data are preprocessed and transformed into truncated frequency response signals. Subsequently, the universal representation learning of frequency response signals is realized through contrastive learning based on TS2Vec, and distance-based anomaly detection is performed using the K-nearest neighbor algorithm with semi-supervised learning. For a limited excitation experimental dataset consisting of 32 samples, the proposed method achieves a detection rate of 80.0%. This result demonstrates the validity of the universal representation of modal testing response data.","Main_1:   Within smart manufacturing, data driven techniques are commonly adopted for
condition monitoring and fault diagnosis of rotating machinery. Classical
approaches use supervised learning where a classifier is trained on labeled
data to predict or classify different operational states of the machine.
However, in most industrial applications, labeled data is limited in terms of
its size and type. Hence, it cannot serve the training purpose. In this paper,
this problem is tackled by addressing the classification task as a similarity
measure to a reference sample rather than a supervised classification task.
Similarity-based approaches require a limited amount of labeled data and hence,
meet the requirements of real-world industrial applications. Accordingly, the
paper introduces a similarity-based framework for predictive maintenance (PdM)
of rotating machinery. For each operational state of the machine, a reference
vibration signal is generated and labeled according to the machine's
operational condition. Consequentially, statistical time analysis, fast Fourier
transform (FFT), and short-time Fourier transform (STFT) are used to extract
features from the captured vibration signals. For each feature type, three
similarity metrics, namely structural similarity measure (SSM), cosine
similarity, and Euclidean distance are used to measure the similarity between
test signals and reference signals in the feature space. Hence, nine settings
in terms of feature type-similarity measure combinations are evaluated.
Experimental results confirm the effectiveness of similarity-based approaches
in achieving very high accuracy with moderate computational requirements
compared to machine learning (ML)-based methods. Further, the results indicate
that using FFT features with cosine similarity would lead to better performance
compared to the other settings.
",0.45
Cite_2_1: We consider the Kinetic Fokker–Planck (FKP) equation in a domain with Maxwell reflection condition on the boundary. We establish the ultracontractivity of the associated semigroup and the hypocoercivity of the associated operator. We deduce the convergence with the constructive rate of the solution to the KFP equation towards the stationary state with the same mass as the initial datum.,"Main_2:   We obtain local Holder continuity estimates up to the boundary for a kinetic
Fokker-Planck equation with rough coefficients, with the prescribed influx
boundary condition. Our result extends some recent developments that
incorporate De Giorgi methods to kinetic Fokker-Planck equations. We also
obtain higher order asymptotic estimates near the incoming part of the
boundary. In particular, when the equation has a zero boundary conditions and
no source term, we prove that the solution vanishes at infinite order on the
incoming part of the boundary.
",0.5
